street,house,repressed,longitude,latitude,distance from Kremlin
Афанасьевский Б. пер.,д.25,1,37.597001,55.747976,1.33354158782
Афанасьевский Б. пер.,д.26,1,37.597360,55.749385,1.26742996181
Афанасьевский Б. пер.,д.27,1,37.596893,55.748615,1.31782011529
Афанасьевский Б. пер.,д.31,1,37.596417,55.748979,1.33560200896
Афанасьевский Б. пер.,д.33,1,37.596956,55.749157,1.29801005437
Афанасьевский Б. пер.,д.35,5,37.596031,55.749420,1.34766348921
Афанасьевский Б. пер.,д.36,3,37.597441,55.750950,1.23392595309
Афанасьевский Б. пер.,д.37,2,37.596031,55.749420,1.34766348921
Афанасьевский Б. пер.,д.41,2,37.596974,55.750302,1.27177314076
Афанасьевский М. пер.,д.1,6,37.599588,55.750783,1.10240179975
Аэропортовская 1-я ул.,д.8,1,37.536733,55.801369,7.44082029837
Аэропортовская 1-я ул.,д.20,1,37.535359,55.802007,7.55115571827
Бабаевская  ул.,д.1,1,37.688189,55.791435,6.24551384372
Бабьегородский  пер.,д.11,1,37.611257,55.735368,1.88581458383
Бабьегородский  пер.,д.21,1,,,
Бабьегородский 1-й пер.,д.15,1,,,
Бабьегородский 2-й пер.,д.12,1,37.609577,55.734293,2.02497551172
Бабьегородский 2-й пер.,д.15,1,,,
Бакунинская  ул.,д.2,2,37.679394,55.773191,4.55528215679
Бакунинская  ул.,д.4,6,37.679835,55.773287,4.58441544122
Бакунинская  ул.,д.6,1,37.679835,55.773287,4.58441544122
Бакунинская  ул.,д.11,1,37.680347,55.774396,4.676294777
Бакунинская  ул.,д.17,1,37.682368,55.774841,4.80971342251
Бакунинская  ул.,д.18,1,37.682404,55.773844,4.75410938492
Бакунинская  ул.,д.27,1,37.684668,55.775788,4.98748005047
Бакунинская  ул.,д.28,1,37.685054,55.775024,4.96367805125
Бакунинская  ул.,д.29,1,37.684668,55.775788,4.98748005047
Бакунинская  ул.,д.41,1,37.685063,55.776558,5.05413857746
Бакунинская  ул.,д.49,2,37.685925,55.777489,5.15571752936
Бакунинская  ул.,д.50,5,37.688162,55.776745,5.2292467617
Бакунинская  ул.,д.54,1,37.688764,55.777018,5.27723327781
Бакунинская  ул.,д.58,2,37.689177,55.777115,5.30487218865
Бакунинская  ул.,д.69,1,37.690749,55.778947,5.4969467332
Бакунинская  ул.,д.73,3,37.692159,55.780112,5.64176120298
Бакунинская  ул.,д.79,1,37.692806,55.780461,5.69694459372
Бакунинская  ул.,д.80,2,37.691917,55.778907,5.55596063388
Бакунинская  ул.,д.85,2,37.695304,55.781585,5.89627046136
Бакунинская  ул.,д.87,1,37.695304,55.781585,5.89627046136
Бакунинская  ул.,д.98а,1,37.695259,55.779489,5.76724436159
Балакиревский  пер.,д.1,2,37.685889,55.780532,5.34718815471
Балакиревский  пер.,д.7,1,37.686904,55.779702,5.34477595847
Балканский Б. пер.,д.13,13,37.645815,55.778806,3.4802640028
